Dataset,Missingness Ratio,Mechanism,Iteration,ROC-AUC Score,Impute,precision,recall,sensitivity,specificity,ppv,npv,f1
pima_indians_diabetes,0.3,MAR,2,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.3,MAR,3,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.3,MAR,4,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.3,MAR,5,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.3,MAR,6,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.3,MAR,7,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.3,MAR,8,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.3,MAR,9,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.3,MAR,10,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.3,MNAR,1,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.3,MNAR,2,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.3,MNAR,3,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.3,MNAR,4,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.3,MNAR,5,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.3,MNAR,6,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.3,MNAR,7,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.3,MNAR,8,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.3,MNAR,9,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.3,MNAR,10,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
